5.728999999999899018e+01 -8.954512670808239472e-24 1.749692510815813675e-23
5.729999999999898819e+01 -9.058930401808117953e-24 1.743884769654157276e-23
5.730999999999899330e+01 -9.162924876262849141e-24 1.738016631029389969e-23
5.731999999999899131e+01 -9.266492848499548209e-24 1.732088419607737629e-23
5.732999999999898932e+01 -9.369631097717456607e-24 1.726100461513924860e-23
5.733999999999899444e+01 -9.472336428021199737e-24 1.720053084313019193e-23
5.734999999999899245e+01 -9.574605668453637611e-24 1.713946616992261174e-23
5.735999999999899046e+01 -9.676435673026996349e-24 1.707781389942956758e-23
5.736999999999898847e+01 -9.777823320753519196e-24 1.701557734942367346e-23
5.737999999999898648e+01 -9.878765515673986953e-24 1.695275985135675938e-23
5.738999999999899160e+01 -9.979259186885283318e-24 1.688936475017990024e-23
5.739999999999898961e+01 -1.007930128856767223e-23 1.682539540416313612e-23
5.740999999999898762e+01 -1.017888880000985502e-23 1.676085518471628877e-23
5.741999999999899273e+01 -1.027801872563380415e-23 1.669574747620946356e-23
5.742999999999899075e+01 -1.037668809501694193e-23 1.663007567579497099e-23
5.743999999999898876e+01 -1.047489396291511547e-23 1.656384319322827237e-23
5.744999999999898677e+01 -1.057263340928301214e-23 1.649705345069030977e-23
5.745999999999898478e+01 -1.066990353929415616e-23 1.642970988260972132e-23
5.746999999999898989e+01 -1.076670148335941093e-23 1.636181593548565597e-23
5.747999999999898790e+01 -1.086302439714428665e-23 1.629337506771111436e-23
5.748999999999898591e+01 -1.095886946158555597e-23 1.622439074939632197e-23
5.749999999999899103e+01 -1.105423388290701885e-23 1.615486646219237262e-23
5.750999999999898904e+01 -1.114911489263302513e-23 1.608480569911610628e-23
5.751999999999898705e+01 -1.124350974760145052e-23 1.601421196437492515e-23
5.752999999999898506e+01 -1.133741572997629938e-23 1.594308877319161265e-23
5.753999999999898307e+01 -1.143083014725867208e-23 1.587143965163001057e-23
5.754999999999898819e+01 -1.152375033229625562e-23 1.579926813642125457e-23
5.755999999999898620e+01 -1.161617364329203998e-23 1.572657777479041223e-23
5.756999999999898421e+01 -1.170809746381240546e-23 1.565337212428315056e-23
5.757999999999898932e+01 -1.179951920279378043e-23 1.557965475259315286e-23
5.758999999999898733e+01 -1.189043629454817935e-23 1.550542923739003808e-23
5.759999999999898534e+01 -1.198084619876799878e-23 1.543069916614751239e-23
5.760999999999898336e+01 -1.207074640052882099e-23 1.535546813597271382e-23
5.761999999999898137e+01 -1.216013441029330624e-23 1.527973975343439322e-23
5.762999999999898648e+01 -1.224900776391159103e-23 1.520351763439347848e-23
5.763999999999898449e+01 -1.233736402262241951e-23 1.512680540383278948e-23
5.764999999999898250e+01 -1.242520077305201349e-23 1.504960669568812547e-23
5.765999999999898762e+01 -1.251251562721305131e-23 1.497192515267904084e-23
5.766999999999898563e+01 -1.259930622250282957e-23 1.489376442613998539e-23
5.767999999999898364e+01 -1.268557022169786327e-23 1.481512817585387196e-23
5.768999999999898165e+01 -1.277130531295174640e-23 1.473602006988286404e-23
5.769999999999897966e+01 -1.285650920978765959e-23 1.465644378440316587e-23
5.770999999999898478e+01 -1.294117965109343749e-23 1.457640300353734703e-23
5.771999999999898279e+01 -1.302531440111341670e-23 1.449590141918923539e-23
5.772999999999898080e+01 -1.310891124944059522e-23 1.441494273087803436e-23
5.773999999999898591e+01 -1.319196801100660547e-23 1.433353064557418856e-23
5.774999999999898392e+01 -1.327448252607279526e-23 1.425166887753390360e-23
5.775999999999898193e+01 -1.335645266000587586e-23 1.416936115025095163e-23
5.776999999999897994e+01 -1.343787630131396185e-23 1.408661121776980918e-23
5.777999999999897796e+01 -1.351875136312476707e-23 1.400342285573817326e-23
5.778999999999898307e+01 -1.359907578480892554e-23 1.391979984672198064e-23
5.779999999999898108e+01 -1.367884753198839334e-23 1.383574597980326244e-23
5.780999999999897909e+01 -1.375806459652022676e-23 1.375126505040391395e-23
5.781999999999898421e+01 -1.383672499647982271e-23 1.366636086010957626e-23
5.782999999999898222e+01 -1.391482677614168467e-23 1.358103721649542796e-23
5.783999999999898023e+01 -1.399236800596036795e-23 1.349529793295133918e-23
5.784999999999897824e+01 -1.406934678255027295e-23 1.340914682850776324e-23
5.785999999999897625e+01 -1.414576122866348117e-23 1.332258772766307417e-23
5.786999999999898137e+01 -1.422160949316763539e-23 1.323562446021043108e-23
5.787999999999897938e+01 -1.429688975102204185e-23 1.314826086106610163e-23
5.788999999999897739e+01 -1.437160020325295255e-23 1.306050077009798236e-23
5.789999999999898250e+01 -1.444573907692848606e-23 1.297234803195427481e-23
5.790999999999898051e+01 -1.451930462513068899e-23 1.288380649589459344e-23
5.791999999999897852e+01 -1.459229512692893744e-23 1.279488001561923094e-23
5.792999999999897653e+01 -1.466470888735127265e-23 1.270557244910026613e-23
5.793999999999897454e+01 -1.473654423735363822e-23 1.261588765841441312e-23
5.794999999999897966e+01 -1.480779953379050459e-23 1.252582950957397045e-23
5.795999999999897767e+01 -1.487847315938186109e-23 1.243540187236141148e-23
5.796999999999897568e+01 -1.494856352268182736e-23 1.234460862016159869e-23
5.797999999999898080e+01 -1.501806905804425833e-23 1.225345362979709546e-23
5.798999999999897881e+01 -1.508698822558891942e-23 1.216194078136232585e-23
5.799999999999897682e+01 -1.515531951116512848e-23 1.207007395806020150e-23
5.800999999999897483e+01 -1.522306142631565927e-23 1.197785704603815038e-23
5.801999999999897284e+01 -1.529021250823987508e-23 1.188529393422444984e-23
5.802999999999897796e+01 -1.535677131975491677e-23 1.179238851416656966e-23
